HS Code,Chapter,Tariff Description,CD,SD,VAT,AIT,RD,AT,TTI,Source Page
02032990,02,"Frozen Swine Meat, Nes",25,0,0,5,5,0,35.00,1
02041010,02,"Fresh/Chilled Lamb Carcasses And Half Carcasses, Wrapped/Canned upto 2.5 kg",25,10,15,5,5,7.5,80.18,1
02041090,02,"Fresh Or Chilled Lamb Carcasses And Half Carcasses, Nes",25,10,0,5,5,0,48.00,1
02042110,02,"Fresh Or Chilled Sheep Carcasses & Half Carcasses, Wrapped/Canned upto 2.5 kg",25,10,15,5,5,7.5,80.18,1
02042190,02,"Fresh Or Chilled Sheep Carcasses & Half Carcasses, Nes",25,10,0,5,5,0,48.00,1
02042210,02,"Fresh Or Chilled Other Cuts Of Meat Of Sheep, With Bone In, Wrapped/Canned upto 2.5 kg",25,10,15,5,5,7.5,80.18,1
02042290,02,"Fresh Or Chilled Other Cuts Of Meat Of Sheep,With Bone In, Nes",25,10,0,5,5,0,48.00,1
02042310,02,"Fresh Or Chilled Boneless Meat Of Sheep, Wrapped/Canned upto 2.5 kg",25,10,15,5,5,7.5,80.18,1
02042390,02,"Fresh Or Chilled Boneless Meat Of Sheep, Nes",25,10,0,5,5,0,48.00,1
02043010,02,"Frozen Lamb Carcasses And Half Carcasses, Wrapped/Canned upto 2.5 kg",25,10,15,5,5,7.5,80.18,1
02043090,02,"Frozen Lamb Carcasses And Half Carcasses, Nes",25,10,0,5,5,0,48.00,2
02044110,02,"Frozen Sheep Carcasses And Half Carcasses, Wrapped/Canned upto 2.5 kg",25,10,15,5,5,7.5,80.18,2
02044190,02,"Frozen Sheep Carcasses And Half Carcasses, Nes",25,10,0,5,5,0,48.00,2
02044210,02,"Frozen Other Cuts Of Meat Of Sheep, With Bone In, Wrapped/Canned upto 2.5 kg",25,10,15,5,5,7.5,80.18,2
02044290,02,"Frozen Other Cuts Of Meat Of Sheep, Bone In, Nes",25,10,0,5,5,0,48.00,2
02044310,02,"Frozen Meat Of Sheep, Boneless, Wrapped/Canned upto 2.5 kg",25,10,15,5,5,7.5,80.18,2
02044390,02,"Frozen Meat Of Sheep, Boneless, Nes",25,10,0,5,5,0,48.00,2
02045010,02,"Fresh, Chiled Or Frozen Goat Meat, Wrapped/Canned upto 2.5 kg",25,10,15,5,5,7.5,80.18,2
02045090,02,"Fresh, Chiled Or Frozen Goat Meat, Nes",25,10,0,5,5,0,48.00,2
02050010,02,"Meat Of Horses,Asses,Mules/Hinnies, Fersh, Chilled Or Frozen, Wrapped/Canned upto 2.5 kg",25,0,15,5,5,7.5,64.25,2
02050090,02,"Meat Of Horses,Asses,Mules Or Hinnies, Fresh,Chilled Or Frozen, Nes",25,0,0,5,5,0,35.00,2
02061010,02,"Fresh Or Chilled Edible Offal Of Bovine Animal, Wrapped/Canned upto 2.5 kg",25,10,15,5,5,7.5,80.18,2
02061090,02,"Fresh Or Chilled Edible Offal Of Bovine Animals, Nes",15,0,0,5,0,0,20.00,2
02062110,02,"Frozen Bovine Tongues, Wrapped/Canned upto 2.5 kg",25,10,15,5,5,7.5,80.18,2
02062190,02,"Frozen Bovine Tounge, Nes",15,0,0,5,0,0,20.00,2
02062210,02,"Frozen Bovine Livers, Wrapped/Canned upto 2.5 kg",25,10,15,5,5,7.5,80.18,2
02062290,02,"Frozen Bovine Livers, Nes",15,0,0,5,0,0,20.00,2
02062910,02,"Frozen Edible Bovine Offal (Excl. Tongues And Livers), Wrapped/Canned upto 2.5 kg",25,10,15,5,5,7.5,80.18,2
02062990,02,"Frozen Edible Bovine Offal (Excl. Tongues And Livers), Nes",15,0,0,5,0,0,20.00,2
02063010,02,"Fresh Or Chilled Edible Swine Offal, Wrapped/Canned upto 2.5 kg",25,0,15,5,0,7.5,58.13,2
02063090,02,"Fresh Or Chilled Edible Swine Offal, Nes",25,0,0,5,0,0,30.00,2
02064110,02,"Frozen Swine Livers, Wrapped/Canned upto 2.5 kg",25,0,15,5,0,7.5,58.13,2
02064190,02,"Frozen Swine Livers, Nes",25,0,0,5,0,0,30.00,2
02064910,02,"Frozen Edible Swine Offal(Excl. Livers), Wrapped/Canned upto 2.5 kg",25,0,15,5,0,7.5,58.13,2
02064990,02,"Frozen Edible Swine Offal, Excl. Livers, Nes",25,0,0,5,0,0,30.00,2
02068010,02,"Fresh Or Chilled Edible Offal Of Sheep,Goats,Horses.., Wrapped/Canned upto 2.5 kg",25,10,15,5,5,7.5,80.18,2
02068090,02,"Fresh Or Chilled Edible Offal Of Sheep,Goats,Horses..., Nes",25,10,0,5,5,0,48.00,2
02069010,02,"Frozen Edible Offal Of Sheep,Goats,Horses.., Wrapped/Canned upto 2.5 kg",25,10,15,5,5,7.5,80.18,2
02069090,02,"Frozen Edible Offal Of Sheep,Goats,Horses..., Nes",25,10,0,5,5,0,48.00,2
02071110,02,"Fresh/Chilled Meat&Edible Offal Of Fowls Not Cut Inpieces, Wrapped/Canned upto 2.5 kg",25,0,15,5,0,7.5,58.13,2
02071190,02,"Fresh Or Chilled Meat&Edible Offal Of Fowls Not Cut Inpieces, Nes",25,0,15,5,0,0,48.75,2
02071210,02,"Frozen Meat&Edible Offal Of Fowls Not Cut Inpieces, Wrapped/Canned upto 2.5 kg",25,0,15,5,0,7.5,58.13,2
02071290,02,"Frozen Meat & Edible Offals Of Fowls Not Cut Inpieces, Nes",25,0,15,5,0,0,48.75,2
02071310,02,"Fresh Or Chilled Cuts And Offal Of Meat Fowls, Wrapped/Canned upto 2.5 kg",25,0,15,5,0,7.5,58.13,2
02071390,02,"Fresh Or Chilled Cuts And Offal Of Chickens, Nes",15,0,15,5,0,7.5,45.88,2
